"id","clave","nombre","numeroLatitud","numeroLongitud","numeroAltitud","claveCarta","entidades_id","municipios_id","created_at","updated_at","deleted_at"
"11132","0586","La Garrucha","164543.812","914613.006","880","E15D54","7","59",,,
"11133","0589","Ibarra","163609","912718","820","E15D65","7","59",,,
"11134","0595","Lacanjá Chansayab","164539.996","910745.984","320","E15D56","7","59",,,
"11135","0596","Lázaro Cárdenas","170308.178","911338.941","177","E15D46","7","59",,,
"11136","0598","Nuevo Mariscal","165844.004","911103.984","130","E15D56","7","59",,,
"11137","0599","Nueva Morelia","164909.777","915446.581","891","E15D54","7","59",,,
"11138","0600","Naha","165833.997","913447.767","882","E15D55","7","59",,,
"11139","0602","El Naranjito","165824.996","911618.012","256","E15D56","7","59",,,
"11140","0603","Nueva Libertad","170601.008","911827","340","E15D46","7","59",,,
"11141","0604","Nuevo Chetumal","165048.984","911806.984","580","E15D56","7","59",,,
"11142","0605","Nuevo Francisco León","170145.959","911913.001","162","E15D46","7","59",,,
"11143","0606","Nueva Galilea","162723.004","911556.988","419","E15D76","7","59",,,
"11144","0614","Nuevo Egipto (Pantelá)","165536.012","915934.008","899","E15D54","7","59",,,
"11145","0615","El Paraíso","165754.046","911542.987","281","E15D56","7","59",,,
"11146","0619","Pichucalco","163151.819","911811.983","595","E15D66","7","59",,,
"11147","0624","Puerto Rico","160442","910042","180","E15D86","7","59",,,
"11148","0627","Nuevo Real","165343.962","914536.123","598","E15D54","7","59",,,
"11149","0631","San Juan Rómulo Calzada","163755.15","913641.537","340","E15D65","7","59",,,
"11150","0632","San Salvador","165818.012","915236.012","752","E15D54","7","59",,,
"11151","0637","Indio Pedro","163318","910324.984","240","E15D66","7","59",,,
"11152","0641","La Sultana","163646.008","913355.008","373","E15D65","7","59",,,
"11153","0642","Las Tacitas","164220.988","913302.016","660","E15D65","7","59",,,
"11154","0643","Las Tazas","164525.992","913654","520","E15D55","7","59",,,
"11155","0645","La Trinidad","164648","913704.008","523","E15D55","7","59",,,
"11156","0650","Villa las Rosas","165627.806","913522.29","939","E15D55","7","59",,,
"11157","0655","La Selva (San Andrés)","170540.888","912110.401","140","E15D45","7","59",,,
"11158","0659","La Arena 2da. Sección (Morelos)","170656.897","913059.521","340","E15D45","7","59",,,
"11159","0663","El Guayacán","170704.008","912755.008","500","E15D45","7","59",,,
"11160","0664","La Tequila","170654","912742.012","500","E15D45","7","59",,,
"11161","0667","Crucero Nueva Palestina","165308.016","911206.984","440","E15D56","7","59",,,
"11162","0669","Nuevo Jerusalén","170152.72","911436.689","280","E15D46","7","59",,,
